user,index_months,year,month,date,weekday,date_formatting,stream_url,length_minute,watchtime_hrs,avg_viewers,peak_viewers,new_followers,followers_hourly,views,views_hourly,Cattegory,co_stream,event
jingburger,13,2022,1,9,7,1/9/2022,https://sullygnome.com/channel/jingburger/stream/45083466461,592,1803232,3046,4488,896,87,42991,4194,Just Chatting,,0
jingburger,13,2022,1,8,6,1/8/2022,https://sullygnome.com/channel/jingburger/stream/45070558733,516,2636760,5110,8015,766,87,39428,4506,Just Chatting,1,0
jingburger,13,2022,1,8,6,1/8/2022,https://sullygnome.com/channel/jingburger/stream/45068522893,123,410574,3338,5364,417,185,18548,8243,Just Chatting,1,0
jingburger,13,2022,1,6,4,1/6/2022,https://sullygnome.com/channel/jingburger/stream/45045353949,528,1710720,3240,4548,701,77,28758,3195,Just Chatting,,0
jingburger,13,2022,1,4,2,1/4/2022,https://sullygnome.com/channel/jingburger/stream/45021857389,672,2132256,3173,4152,867,75,35521,3088,Just Chatting,,0
jingburger,13,2022,1,3,1,1/3/2022,https://sullygnome.com/channel/jingburger/stream/45008152141,452,1472616,3258,5149,874,112,42552,5490,Just Chatting,,0
jingburger,13,2022,1,2,7,1/2/2022,https://sullygnome.com/channel/jingburger/stream/44999264701,409,1152562,2818,4376,316,45,13967,1995,Just Chatting,,0
jingburger,12,2021,12,31,5,12/31/2021,https://sullygnome.com/channel/jingburger/stream/44976072253,603,1381473,2291,3491,671,65,39158,3820,Just Chatting,,0
jingburger,12,2021,12,30,4,12/30/2021,https://sullygnome.com/channel/jingburger/stream/44961838541,819,2603601,3179,4652,1181,85,50475,3670,Just Chatting,,0
jingburger,12,2021,12,29,3,12/29/2021,https://sullygnome.com/channel/jingburger/stream/44949823709,138,273240,1980,3149,273,109,10763,4305,Just Chatting,,0
jingburger,12,2021,12,28,2,12/28/2021,https://sullygnome.com/channel/jingburger/stream/44937321981,130,294320,2264,2809,301,133,9612,4272,Just Chatting,,0
jingburger,12,2021,12,27,1,12/27/2021,https://sullygnome.com/channel/jingburger/stream/44925088573,144,295632,2053,2853,306,122,9669,3867,Just Chatting,,0
jingburger,12,2021,12,25,6,12/25/2021,https://sullygnome.com/channel/jingburger/stream/44904775069,525,1014825,1933,3091,747,85,42487,4855,Just Chatting,,0
jingburger,12,2021,12,24,5,12/24/2021,https://sullygnome.com/channel/jingburger/stream/44895379405,449,1103642,2458,4773,753,100,40705,5427,Just Chatting,,0
jingburger,12,2021,12,23,4,12/23/2021,https://sullygnome.com/channel/jingburger/stream/44885184717,599,1253707,2093,3793,722,72,31600,3160,Just Chatting,,0
jingburger,12,2021,12,23,4,12/23/2021,https://sullygnome.com/channel/jingburger/stream/44884941997,0,0,231,1681,0,0,0,0,Just Chatting,,0
jingburger,12,2021,12,21,2,12/21/2021,https://sullygnome.com/channel/jingburger/stream/44862582317,439,668597,1523,3657,1018,135,39533,5271,Just Chatting,,0
jingburger,12,2021,12,20,1,12/20/2021,https://sullygnome.com/channel/jingburger/stream/44852831741,255,404685,1587,2046,152,35,13064,3073,DEEEER Simulator,,0
jingburger,12,2021,12,20,1,12/20/2021,https://sullygnome.com/channel/jingburger/stream/44852122781,116,171332,1477,1856,107,53,10895,5447,Just Chatting,,0
jingburger,12,2021,12,19,7,12/19/2021,https://sullygnome.com/channel/jingburger/stream/44841763117,574,423038,737,1520,470,48,36643,3758,Just Chatting,,0
jingburger,12,2021,12,18,6,12/18/2021,https://sullygnome.com/channel/jingburger/stream/44830426765,553,1036322,1874,3113,377,40,24224,2618,Just Chatting,,0
jingburger,12,2021,12,17,5,12/17/2021,https://sullygnome.com/channel/jingburger/stream/44820144525,506,493350,975,2291,548,64,27704,3259,VRChat,,1
jingburger,12,2021,12,17,5,12/17/2021,https://sullygnome.com/channel/jingburger/stream/44819565629,28,90944,3248,3599,58,116,3610,7220,Just Chatting,,1
jingburger,12,2021,12,15,3,12/15/2021,https://sullygnome.com/channel/jingburger/stream/44801171581,33,35937,1089,1595,45,60,670,893,Just Chatting,,0
jingburger,12,2021,12,13,1,12/13/2021,https://sullygnome.com/channel/jingburger/stream/44780228829,491,751721,1531,2244,184,22,10095,1223,Just Chatting,,0
jingburger,12,2021,12,12,7,12/12/2021,https://sullygnome.com/channel/jingburger/stream/44765598589,745,784485,1053,1936,392,31,35541,2843,Just Chatting,1,0
jingburger,12,2021,12,11,6,12/11/2021,https://sullygnome.com/channel/jingburger/stream/44753316221,242,509410,2105,6795,136,32,12217,2874,Just Chatting,,0
jingburger,12,2021,12,9,4,12/9/2021,https://sullygnome.com/channel/jingburger/stream/44727938301,326,673516,2066,3079,125,22,16173,2940,Just Chatting,,0
jingburger,12,2021,12,8,3,12/8/2021,https://sullygnome.com/channel/jingburger/stream/44715674381,254,630936,2484,3692,87,20,11706,2754,Just Chatting,,0
jingburger,12,2021,12,6,1,12/6/2021,https://sullygnome.com/channel/jingburger/stream/44693111213,540,1232820,2283,3845,237,25,22508,2433,Just Chatting,,0
jingburger,12,2021,12,5,7,12/5/2021,https://sullygnome.com/channel/jingburger/stream/44681222925,419,699730,1670,2499,175,25,18243,2606,Just Chatting,,0
jingburger,12,2021,12,3,5,12/3/2021,https://sullygnome.com/channel/jingburger/stream/44656231085,345,224250,650,989,132,22,13271,2308,Just Chatting,,0
jingburger,12,2021,12,2,4,12/2/2021,https://sullygnome.com/channel/jingburger/stream/44645776253,418,732754,1753,2576,147,21,14356,2050,Just Chatting,,0
jingburger,11,2021,11,30,2,11/30/2021,https://sullygnome.com/channel/jingburger/stream/44622669693,568,644112,1134,1579,168,17,15870,1627,Just Chatting,,0
jingburger,11,2021,11,29,1,11/29/2021,https://sullygnome.com/channel/jingburger/stream/44612238941,595,878815,1477,2595,136,13,15278,1527,Just Chatting,,0
jingburger,11,2021,11,28,7,11/28/2021,https://sullygnome.com/channel/jingburger/stream/44599758557,693,612612,884,1234,168,14,15721,1337,Just Chatting,,0
jingburger,11,2021,11,26,5,11/26/2021,https://sullygnome.com/channel/jingburger/stream/44574536605,573,655512,1144,1852,134,13,14836,1521,Just Chatting,,0
